label        tp	 fp	 fn	 prec	 rec	 f1
DA           9	 1	 0	 0.9	 1.0	 0.9473684
NAV          1	 2	 2	 0.33333334	 0.33333334	 0.33333334
SD           0	 0	 5	 0.0	 0.0	 0.0
VC           3	 3	 1	 0.5	 0.75	 0.6
CC           7	 6	 0	 0.53846157	 1.0	 0.70000005
AR           0	 0	 6	 0.0	 0.0	 0.0
SN           1	 0	 2	 1.0	 0.33333334	 0.5
LR           2	 5	 1	 0.2857143	 0.6666667	 0.4
tp: 23 fp: 17 fn: 17 labels: 8
Macro-average	 prec: 0.44468865, rec: 0.5104167, f1: 0.47529104
Micro-average	 prec: 0.575, recall: 0.575, f1: 0.575
