label        tp	 fp	 fn	 prec	 rec	 f1
DA           2	 8	 0	 0.2	 1.0	 0.3333333
NAV          8	 2	 1	 0.8	 0.8888889	 0.84210527
NA           0	 0	 4	 0.0	 0.0	 0.0
SD           0	 0	 4	 0.0	 0.0	 0.0
VC           0	 0	 3	 0.0	 0.0	 0.0
CC           0	 0	 1	 0.0	 0.0	 0.0
AR           0	 0	 1	 0.0	 0.0	 0.0
SN           3	 2	 1	 0.6	 0.75	 0.6666667
LR           9	 3	 0	 0.75	 1.0	 0.85714287
tp: 22 fp: 15 fn: 15 labels: 9
Macro-average	 prec: 0.2611111, rec: 0.40432099, f1: 0.3173057
Micro-average	 prec: 0.5945946, recall: 0.5945946, f1: 0.5945946
