label        tp	 fp	 fn	 prec	 rec	 f1
SV           0	 0	 3	 0.0	 0.0	 0.0
DA           9	 1	 0	 0.9	 1.0	 0.9473684
NAV          2	 0	 1	 1.0	 0.6666667	 0.8
SD           3	 1	 2	 0.75	 0.6	 0.6666667
RV           0	 0	 1	 0.0	 0.0	 0.0
PV           0	 3	 0	 0.0	 0.0	 0.0
CC           7	 1	 0	 0.875	 1.0	 0.93333334
AR           5	 1	 1	 0.8333333	 0.8333333	 0.8333333
SN           3	 0	 0	 1.0	 1.0	 1.0
LR           2	 2	 1	 0.5	 0.6666667	 0.57142854
tp: 31 fp: 9 fn: 9 labels: 10
Macro-average	 prec: 0.5858334, rec: 0.5766667, f1: 0.5812139
Micro-average	 prec: 0.775, recall: 0.775, f1: 0.775
