label        tp	 fp	 fn	 prec	 rec	 f1
DA           9	 1	 0	 0.9	 1.0	 0.9473684
NAV          1	 0	 2	 1.0	 0.33333334	 0.5
SD           2	 2	 3	 0.5	 0.4	 0.44444448
VC           3	 0	 1	 1.0	 0.75	 0.85714287
CC           7	 1	 0	 0.875	 1.0	 0.93333334
AR           3	 1	 3	 0.75	 0.5	 0.6
SN           3	 1	 0	 0.75	 1.0	 0.85714287
LR           2	 4	 1	 0.33333334	 0.6666667	 0.44444448
tp: 30 fp: 10 fn: 10 labels: 8
Macro-average	 prec: 0.7635417, rec: 0.70625, f1: 0.73377925
Micro-average	 prec: 0.75, recall: 0.75, f1: 0.75
