label        tp	 fp	 fn	 prec	 rec	 f1
DA           9	 1	 0	 0.9	 1.0	 0.9473684
NAV          2	 0	 1	 1.0	 0.6666667	 0.8
SD           3	 1	 2	 0.75	 0.6	 0.6666667
VC           3	 0	 1	 1.0	 0.75	 0.85714287
CC           7	 1	 0	 0.875	 1.0	 0.93333334
AR           4	 3	 2	 0.5714286	 0.6666667	 0.61538464
SN           3	 0	 0	 1.0	 1.0	 1.0
LR           2	 1	 1	 0.6666667	 0.6666667	 0.6666667
tp: 33 fp: 7 fn: 7 labels: 8
Macro-average	 prec: 0.8453869, rec: 0.79375, f1: 0.81875515
Micro-average	 prec: 0.825, recall: 0.825, f1: 0.825
