label        tp	 fp	 fn	 prec	 rec	 f1
DA           9	 1	 0	 0.9	 1.0	 0.9473684
NAV          2	 0	 1	 1.0	 0.6666667	 0.8
SD           0	 1	 5	 0.0	 0.0	 0.0
VC           3	 0	 1	 1.0	 0.75	 0.85714287
CC           7	 2	 0	 0.7777778	 1.0	 0.875
AR           4	 5	 2	 0.44444445	 0.6666667	 0.5333333
SN           3	 0	 0	 1.0	 1.0	 1.0
LR           2	 1	 1	 0.6666667	 0.6666667	 0.6666667
tp: 30 fp: 10 fn: 10 labels: 8
Macro-average	 prec: 0.7236111, rec: 0.71875, f1: 0.72117233
Micro-average	 prec: 0.75, recall: 0.75, f1: 0.75
