label        tp	 fp	 fn	 prec	 rec	 f1
DA           5	 7	 0	 0.41666666	 1.0	 0.5882353
NA           0	 0	 3	 0.0	 0.0	 0.0
SD           0	 0	 3	 0.0	 0.0	 0.0
VC           0	 0	 1	 0.0	 0.0	 0.0
CC           0	 0	 3	 0.0	 0.0	 0.0
AR           0	 0	 2	 0.0	 0.0	 0.0
SN           3	 0	 0	 1.0	 1.0	 1.0
LR           2	 5	 0	 0.2857143	 1.0	 0.44444448
tp: 10 fp: 12 fn: 12 labels: 8
Macro-average	 prec: 0.21279761, rec: 0.375, f1: 0.27151895
Micro-average	 prec: 0.45454547, recall: 0.45454547, f1: 0.45454547
