label        tp	 fp	 fn	 prec	 rec	 f1
SV           0	 0	 3	 0.0	 0.0	 0.0
DA           7	 5	 2	 0.5833333	 0.7777778	 0.6666666
NAV          0	 0	 3	 0.0	 0.0	 0.0
SD           0	 0	 5	 0.0	 0.0	 0.0
RV           0	 0	 1	 0.0	 0.0	 0.0
CC           7	 21	 0	 0.25	 1.0	 0.4
AR           0	 0	 6	 0.0	 0.0	 0.0
SN           0	 0	 3	 0.0	 0.0	 0.0
LR           0	 0	 3	 0.0	 0.0	 0.0
tp: 14 fp: 26 fn: 26 labels: 9
Macro-average	 prec: 0.09259259, rec: 0.19753087, f1: 0.12608352
Micro-average	 prec: 0.35, recall: 0.35, f1: 0.35
