label        tp	 fp	 fn	 prec	 rec	 f1
DA           0	 0	 6	 0.0	 0.0	 0.0
NAV          4	 6	 2	 0.4	 0.6666667	 0.5
NA           0	 0	 5	 0.0	 0.0	 0.0
SD           0	 0	 5	 0.0	 0.0	 0.0
VC           0	 0	 4	 0.0	 0.0	 0.0
CC           0	 0	 1	 0.0	 0.0	 0.0
AR           0	 0	 2	 0.0	 0.0	 0.0
SN           0	 0	 1	 0.0	 0.0	 0.0
LR           6	 20	 0	 0.23076923	 1.0	 0.375
tp: 10 fp: 26 fn: 26 labels: 9
Macro-average	 prec: 0.07008547, rec: 0.1851852, f1: 0.101686515
Micro-average	 prec: 0.2777778, recall: 0.2777778, f1: 0.2777778
