label        tp	 fp	 fn	 prec	 rec	 f1
DA           5	 4	 0	 0.5555556	 1.0	 0.71428573
NA           0	 0	 3	 0.0	 0.0	 0.0
SD           0	 0	 3	 0.0	 0.0	 0.0
VC           1	 1	 0	 0.5	 1.0	 0.6666667
CC           3	 0	 0	 1.0	 1.0	 1.0
AR           2	 1	 0	 0.6666667	 1.0	 0.8
SN           3	 0	 0	 1.0	 1.0	 1.0
LR           2	 0	 0	 1.0	 1.0	 1.0
tp: 16 fp: 6 fn: 6 labels: 8
Macro-average	 prec: 0.5902778, rec: 0.75, f1: 0.66062176
Micro-average	 prec: 0.72727275, recall: 0.72727275, f1: 0.72727275
