label        tp	 fp	 fn	 prec	 rec	 f1
SV           0	 0	 3	 0.0	 0.0	 0.0
DA           9	 1	 0	 0.9	 1.0	 0.9473684
NAV          1	 0	 2	 1.0	 0.33333334	 0.5
SD           2	 0	 3	 1.0	 0.4	 0.5714286
RV           0	 0	 1	 0.0	 0.0	 0.0
PV           0	 3	 0	 0.0	 0.0	 0.0
CC           7	 1	 0	 0.875	 1.0	 0.93333334
AR           5	 3	 1	 0.625	 0.8333333	 0.71428573
SN           3	 0	 0	 1.0	 1.0	 1.0
LR           2	 3	 1	 0.4	 0.6666667	 0.5
tp: 29 fp: 11 fn: 11 labels: 10
Macro-average	 prec: 0.58000004, rec: 0.5233333, f1: 0.5502115
Micro-average	 prec: 0.725, recall: 0.725, f1: 0.725
