label        tp	 fp	 fn	 prec	 rec	 f1
DA           9	 1	 0	 0.9	 1.0	 0.9473684
NAV          2	 1	 1	 0.6666667	 0.6666667	 0.6666667
SD           0	 0	 5	 0.0	 0.0	 0.0
VC           3	 1	 1	 0.75	 0.75	 0.75
CC           7	 3	 0	 0.7	 1.0	 0.82352936
AR           1	 3	 5	 0.25	 0.16666667	 0.2
SN           3	 0	 0	 1.0	 1.0	 1.0
LR           2	 4	 1	 0.33333334	 0.6666667	 0.44444448
tp: 27 fp: 13 fn: 13 labels: 8
Macro-average	 prec: 0.575, rec: 0.65625, f1: 0.6129441
Micro-average	 prec: 0.675, recall: 0.675, f1: 0.675
