label        tp	 fp	 fn	 prec	 rec	 f1
DA           9	 1	 0	 0.9	 1.0	 0.9473684
NAV          2	 1	 1	 0.6666667	 0.6666667	 0.6666667
SD           0	 0	 5	 0.0	 0.0	 0.0
VC           3	 1	 1	 0.75	 0.75	 0.75
CC           7	 3	 0	 0.7	 1.0	 0.82352936
AR           2	 3	 4	 0.4	 0.33333334	 0.36363637
SN           3	 0	 0	 1.0	 1.0	 1.0
LR           2	 3	 1	 0.4	 0.6666667	 0.5
tp: 28 fp: 12 fn: 12 labels: 8
Macro-average	 prec: 0.6020834, rec: 0.6770833, f1: 0.63738465
Micro-average	 prec: 0.7, recall: 0.7, f1: 0.7
