label        tp	 fp	 fn	 prec	 rec	 f1
DA           8	 5	 1	 0.61538464	 0.8888889	 0.72727275
NAV          0	 0	 3	 0.0	 0.0	 0.0
SD           0	 0	 5	 0.0	 0.0	 0.0
VC           4	 14	 0	 0.22222222	 1.0	 0.36363637
CC           0	 0	 7	 0.0	 0.0	 0.0
AR           0	 0	 6	 0.0	 0.0	 0.0
SN           0	 0	 3	 0.0	 0.0	 0.0
LR           3	 6	 0	 0.33333334	 1.0	 0.5
tp: 15 fp: 25 fn: 25 labels: 8
Macro-average	 prec: 0.14636752, rec: 0.3611111, f1: 0.2083041
Micro-average	 prec: 0.375, recall: 0.375, f1: 0.375
