label        tp	 fp	 fn	 prec	 rec	 f1
SV           0	 0	 3	 0.0	 0.0	 0.0
DA           9	 1	 0	 0.9	 1.0	 0.9473684
NAV          1	 1	 2	 0.5	 0.33333334	 0.4
SD           0	 0	 5	 0.0	 0.0	 0.0
RV           0	 0	 1	 0.0	 0.0	 0.0
FF           0	 2	 0	 0.0	 0.0	 0.0
CC           7	 4	 0	 0.6363636	 1.0	 0.7777778
AR           3	 2	 3	 0.6	 0.5	 0.54545456
SN           3	 1	 0	 0.75	 1.0	 0.85714287
LR           2	 4	 1	 0.33333334	 0.6666667	 0.44444448
tp: 25 fp: 15 fn: 15 labels: 10
Macro-average	 prec: 0.37196967, rec: 0.45, f1: 0.4072811
Micro-average	 prec: 0.625, recall: 0.625, f1: 0.625
