label        tp	 fp	 fn	 prec	 rec	 f1
DA           9	 1	 0	 0.9	 1.0	 0.9473684
NAV          2	 1	 1	 0.6666667	 0.6666667	 0.6666667
SD           0	 0	 5	 0.0	 0.0	 0.0
VC           3	 0	 1	 1.0	 0.75	 0.85714287
CC           7	 10	 0	 0.4117647	 1.0	 0.5833333
AR           0	 0	 6	 0.0	 0.0	 0.0
SN           0	 0	 3	 0.0	 0.0	 0.0
LR           2	 5	 1	 0.2857143	 0.6666667	 0.4
tp: 23 fp: 17 fn: 17 labels: 8
Macro-average	 prec: 0.4080182, rec: 0.5104167, f1: 0.45350912
Micro-average	 prec: 0.575, recall: 0.575, f1: 0.575
