label        tp	 fp	 fn	 prec	 rec	 f1
DA           8	 4	 1	 0.6666667	 0.8888889	 0.7619048
NAV          0	 0	 3	 0.0	 0.0	 0.0
SD           0	 0	 5	 0.0	 0.0	 0.0
VC           4	 19	 0	 0.17391305	 1.0	 0.2962963
CC           0	 0	 7	 0.0	 0.0	 0.0
AR           0	 0	 6	 0.0	 0.0	 0.0
SN           0	 0	 3	 0.0	 0.0	 0.0
LR           2	 3	 1	 0.4	 0.6666667	 0.5
tp: 14 fp: 26 fn: 26 labels: 8
Macro-average	 prec: 0.15507247, rec: 0.31944445, f1: 0.20878933
Micro-average	 prec: 0.35, recall: 0.35, f1: 0.35
