label        tp	 fp	 fn	 prec	 rec	 f1
DA           6	 4	 0	 0.6	 1.0	 0.75
NAV          6	 3	 0	 0.6666667	 1.0	 0.8
NA           0	 0	 5	 0.0	 0.0	 0.0
SD           0	 0	 5	 0.0	 0.0	 0.0
VC           0	 0	 4	 0.0	 0.0	 0.0
CC           0	 3	 1	 0.0	 0.0	 0.0
AR           0	 0	 2	 0.0	 0.0	 0.0
SN           1	 7	 0	 0.125	 1.0	 0.22222222
LR           6	 0	 0	 1.0	 1.0	 1.0
tp: 19 fp: 17 fn: 17 labels: 9
Macro-average	 prec: 0.26574075, rec: 0.44444445, f1: 0.33260903
Micro-average	 prec: 0.5277778, recall: 0.5277778, f1: 0.5277778
