label        tp	 fp	 fn	 prec	 rec	 f1
SV           0	 0	 3	 0.0	 0.0	 0.0
DA           9	 2	 0	 0.8181818	 1.0	 0.90000004
NAV          1	 1	 2	 0.5	 0.33333334	 0.4
SD           0	 0	 5	 0.0	 0.0	 0.0
RV           0	 0	 1	 0.0	 0.0	 0.0
CC           7	 7	 0	 0.5	 1.0	 0.6666667
AR           1	 0	 5	 1.0	 0.16666667	 0.2857143
SN           3	 0	 0	 1.0	 1.0	 1.0
LR           3	 6	 0	 0.33333334	 1.0	 0.5
tp: 24 fp: 16 fn: 16 labels: 9
Macro-average	 prec: 0.46127945, rec: 0.5, f1: 0.4798599
Micro-average	 prec: 0.6, recall: 0.6, f1: 0.6
