label        tp	 fp	 fn	 prec	 rec	 f1
DA           5	 4	 0	 0.5555556	 1.0	 0.71428573
NA           0	 0	 3	 0.0	 0.0	 0.0
SD           0	 0	 3	 0.0	 0.0	 0.0
VC           1	 0	 0	 1.0	 1.0	 1.0
CC           1	 0	 2	 1.0	 0.33333334	 0.5
AR           2	 3	 0	 0.4	 1.0	 0.5714286
SN           3	 1	 0	 0.75	 1.0	 0.85714287
LR           2	 0	 0	 1.0	 1.0	 1.0
tp: 14 fp: 8 fn: 8 labels: 8
Macro-average	 prec: 0.5881945, rec: 0.6666666, f1: 0.62497693
Micro-average	 prec: 0.6363636, recall: 0.6363636, f1: 0.6363636
