label        tp	 fp	 fn	 prec	 rec	 f1
SV           0	 0	 3	 0.0	 0.0	 0.0
DA           9	 1	 0	 0.9	 1.0	 0.9473684
NAV          1	 0	 2	 1.0	 0.33333334	 0.5
SD           3	 1	 2	 0.75	 0.6	 0.6666667
RV           0	 0	 1	 0.0	 0.0	 0.0
PV           0	 3	 0	 0.0	 0.0	 0.0
CC           7	 1	 0	 0.875	 1.0	 0.93333334
AR           5	 1	 1	 0.8333333	 0.8333333	 0.8333333
SN           3	 0	 0	 1.0	 1.0	 1.0
LR           2	 3	 1	 0.4	 0.6666667	 0.5
tp: 30 fp: 10 fn: 10 labels: 10
Macro-average	 prec: 0.5758334, rec: 0.5433333, f1: 0.5591115
Micro-average	 prec: 0.75, recall: 0.75, f1: 0.75
