label        tp	 fp	 fn	 prec	 rec	 f1
DA           6	 17	 0	 0.26086956	 1.0	 0.41379312
NAV          0	 0	 2	 0.0	 0.0	 0.0
SD           0	 0	 2	 0.0	 0.0	 0.0
VC           0	 0	 3	 0.0	 0.0	 0.0
CC           0	 0	 2	 0.0	 0.0	 0.0
AR           0	 0	 3	 0.0	 0.0	 0.0
SN           1	 0	 3	 1.0	 0.25	 0.4
LR           0	 0	 2	 0.0	 0.0	 0.0
tp: 7 fp: 17 fn: 17 labels: 8
Macro-average	 prec: 0.15760869, rec: 0.15625, f1: 0.15692641
Micro-average	 prec: 0.29166666, recall: 0.29166666, f1: 0.29166666
