label        tp	 fp	 fn	 prec	 rec	 f1
DA           9	 4	 0	 0.6923077	 1.0	 0.8181818
NAV          0	 0	 3	 0.0	 0.0	 0.0
SD           0	 0	 5	 0.0	 0.0	 0.0
VC           3	 4	 1	 0.42857143	 0.75	 0.5454545
CC           0	 0	 7	 0.0	 0.0	 0.0
AR           0	 0	 6	 0.0	 0.0	 0.0
SN           0	 0	 3	 0.0	 0.0	 0.0
LR           3	 17	 0	 0.15	 1.0	 0.2608696
tp: 15 fp: 25 fn: 25 labels: 8
Macro-average	 prec: 0.1588599, rec: 0.34375, f1: 0.21729809
Micro-average	 prec: 0.375, recall: 0.375, f1: 0.375
