label        tp	 fp	 fn	 prec	 rec	 f1
SV           0	 0	 3	 0.0	 0.0	 0.0
DA           9	 1	 0	 0.9	 1.0	 0.9473684
NAV          1	 5	 2	 0.16666667	 0.33333334	 0.22222224
SD           0	 0	 5	 0.0	 0.0	 0.0
RV           0	 0	 1	 0.0	 0.0	 0.0
FF           0	 1	 0	 0.0	 0.0	 0.0
CC           7	 4	 0	 0.6363636	 1.0	 0.7777778
AR           1	 0	 5	 1.0	 0.16666667	 0.2857143
SN           3	 0	 0	 1.0	 1.0	 1.0
LR           2	 6	 1	 0.25	 0.6666667	 0.36363637
tp: 23 fp: 17 fn: 17 labels: 10
Macro-average	 prec: 0.395303, rec: 0.4166667, f1: 0.4057038
Micro-average	 prec: 0.575, recall: 0.575, f1: 0.575
