label        tp	 fp	 fn	 prec	 rec	 f1
SV           0	 0	 3	 0.0	 0.0	 0.0
DA           9	 4	 0	 0.6923077	 1.0	 0.8181818
NAV          0	 0	 3	 0.0	 0.0	 0.0
SD           0	 0	 5	 0.0	 0.0	 0.0
RV           0	 0	 1	 0.0	 0.0	 0.0
CC           7	 4	 0	 0.6363636	 1.0	 0.7777778
AR           0	 0	 6	 0.0	 0.0	 0.0
SN           0	 0	 3	 0.0	 0.0	 0.0
LR           3	 13	 0	 0.1875	 1.0	 0.31578946
tp: 19 fp: 21 fn: 21 labels: 9
Macro-average	 prec: 0.16846348, rec: 0.33333334, f1: 0.22381367
Micro-average	 prec: 0.475, recall: 0.475, f1: 0.475
