label        tp	 fp	 fn	 prec	 rec	 f1
DA           9	 1	 0	 0.9	 1.0	 0.9473684
NAV          2	 1	 1	 0.6666667	 0.6666667	 0.6666667
SD           0	 0	 5	 0.0	 0.0	 0.0
VC           3	 1	 1	 0.75	 0.75	 0.75
CC           7	 3	 0	 0.7	 1.0	 0.82352936
AR           0	 3	 6	 0.0	 0.0	 0.0
SN           3	 0	 0	 1.0	 1.0	 1.0
LR           2	 5	 1	 0.2857143	 0.6666667	 0.4
tp: 26 fp: 14 fn: 14 labels: 8
Macro-average	 prec: 0.5377976, rec: 0.6354167, f1: 0.5825459
Micro-average	 prec: 0.65, recall: 0.65, f1: 0.65
