label        tp	 fp	 fn	 prec	 rec	 f1
DA           4	 0	 2	 1.0	 0.6666667	 0.8
NAV          1	 0	 1	 1.0	 0.5	 0.6666667
SD           0	 0	 2	 0.0	 0.0	 0.0
VC           2	 5	 1	 0.2857143	 0.6666667	 0.4
CC           2	 0	 0	 1.0	 1.0	 1.0
AR           0	 0	 3	 0.0	 0.0	 0.0
SN           4	 1	 0	 0.8	 1.0	 0.88888896
LR           2	 3	 0	 0.4	 1.0	 0.5714286
tp: 15 fp: 9 fn: 9 labels: 8
Macro-average	 prec: 0.5607143, rec: 0.6041667, f1: 0.58163005
Micro-average	 prec: 0.625, recall: 0.625, f1: 0.625
