label        tp	 fp	 fn	 prec	 rec	 f1
DA           4	 0	 2	 1.0	 0.6666667	 0.8
NAV          2	 2	 0	 0.5	 1.0	 0.6666667
SD           0	 0	 2	 0.0	 0.0	 0.0
VC           2	 2	 1	 0.5	 0.6666667	 0.57142854
CC           2	 0	 0	 1.0	 1.0	 1.0
AR           0	 1	 3	 0.0	 0.0	 0.0
SN           4	 1	 0	 0.8	 1.0	 0.88888896
LR           2	 2	 0	 0.5	 1.0	 0.6666667
tp: 16 fp: 8 fn: 8 labels: 8
Macro-average	 prec: 0.5375, rec: 0.6666667, f1: 0.5951557
Micro-average	 prec: 0.6666667, recall: 0.6666667, f1: 0.6666667
