label        tp	 fp	 fn	 prec	 rec	 f1
SV           0	 0	 3	 0.0	 0.0	 0.0
DA           9	 5	 0	 0.64285713	 1.0	 0.78260875
NAV          0	 0	 3	 0.0	 0.0	 0.0
SD           0	 0	 4	 0.0	 0.0	 0.0
RV           0	 0	 1	 0.0	 0.0	 0.0
CC           8	 9	 0	 0.47058824	 1.0	 0.64
AR           0	 0	 6	 0.0	 0.0	 0.0
SN           0	 0	 3	 0.0	 0.0	 0.0
LR           3	 6	 0	 0.33333334	 1.0	 0.5
tp: 20 fp: 20 fn: 20 labels: 9
Macro-average	 prec: 0.16075319, rec: 0.33333334, f1: 0.21690288
Micro-average	 prec: 0.5, recall: 0.5, f1: 0.5
