label        tp	 fp	 fn	 prec	 rec	 f1
DA           5	 2	 1	 0.71428573	 0.8333333	 0.7692307
NAV          6	 7	 0	 0.46153846	 1.0	 0.631579
NA           0	 0	 5	 0.0	 0.0	 0.0
SD           0	 0	 5	 0.0	 0.0	 0.0
VC           0	 0	 4	 0.0	 0.0	 0.0
CC           0	 0	 1	 0.0	 0.0	 0.0
AR           0	 0	 2	 0.0	 0.0	 0.0
SN           1	 8	 0	 0.11111111	 1.0	 0.19999999
LR           6	 1	 0	 0.85714287	 1.0	 0.9230769
tp: 18 fp: 18 fn: 18 labels: 9
Macro-average	 prec: 0.23823091, rec: 0.4259259, f1: 0.3055565
Micro-average	 prec: 0.5, recall: 0.5, f1: 0.5
