label        tp	 fp	 fn	 prec	 rec	 f1
DA           8	 1	 1	 0.8888889	 0.8888889	 0.8888889
NAV          0	 0	 3	 0.0	 0.0	 0.0
SD           0	 0	 5	 0.0	 0.0	 0.0
VC           4	 11	 0	 0.26666668	 1.0	 0.42105266
CC           0	 0	 7	 0.0	 0.0	 0.0
AR           0	 0	 6	 0.0	 0.0	 0.0
SN           0	 0	 3	 0.0	 0.0	 0.0
LR           3	 13	 0	 0.1875	 1.0	 0.31578946
tp: 15 fp: 25 fn: 25 labels: 8
Macro-average	 prec: 0.16788195, rec: 0.3611111, f1: 0.22920541
Micro-average	 prec: 0.375, recall: 0.375, f1: 0.375
