label        tp	 fp	 fn	 prec	 rec	 f1
SV           0	 0	 3	 0.0	 0.0	 0.0
DA           9	 1	 0	 0.9	 1.0	 0.9473684
NAV          2	 8	 1	 0.2	 0.6666667	 0.30769232
SD           0	 0	 5	 0.0	 0.0	 0.0
RV           0	 0	 1	 0.0	 0.0	 0.0
CC           7	 5	 0	 0.5833333	 1.0	 0.7368421
AR           0	 0	 6	 0.0	 0.0	 0.0
SN           3	 0	 0	 1.0	 1.0	 1.0
LR           2	 3	 1	 0.4	 0.6666667	 0.5
tp: 23 fp: 17 fn: 17 labels: 9
Macro-average	 prec: 0.3425926, rec: 0.4814815, f1: 0.40033293
Micro-average	 prec: 0.575, recall: 0.575, f1: 0.575
