label        tp	 fp	 fn	 prec	 rec	 f1
DA           5	 4	 0	 0.5555556	 1.0	 0.71428573
NA           0	 0	 3	 0.0	 0.0	 0.0
SD           0	 0	 3	 0.0	 0.0	 0.0
VC           1	 2	 0	 0.33333334	 1.0	 0.5
CC           3	 0	 0	 1.0	 1.0	 1.0
AR           2	 0	 0	 1.0	 1.0	 1.0
SN           3	 0	 0	 1.0	 1.0	 1.0
LR           2	 0	 0	 1.0	 1.0	 1.0
tp: 16 fp: 6 fn: 6 labels: 8
Macro-average	 prec: 0.6111111, rec: 0.75, f1: 0.6734693
Micro-average	 prec: 0.72727275, recall: 0.72727275, f1: 0.72727275
