label        tp	 fp	 fn	 prec	 rec	 f1
DA           7	 3	 1	 0.7	 0.875	 0.7777778
NA           0	 0	 1	 0.0	 0.0	 0.0
SD           0	 0	 5	 0.0	 0.0	 0.0
VC           0	 0	 2	 0.0	 0.0	 0.0
CC           1	 1	 0	 0.5	 1.0	 0.6666667
AR           0	 0	 1	 0.0	 0.0	 0.0
SN           5	 4	 0	 0.5555556	 1.0	 0.71428573
LR           3	 2	 0	 0.6	 1.0	 0.75
tp: 16 fp: 10 fn: 10 labels: 8
Macro-average	 prec: 0.29444444, rec: 0.484375, f1: 0.36625057
Micro-average	 prec: 0.61538464, recall: 0.61538464, f1: 0.61538464
