label        tp	 fp	 fn	 prec	 rec	 f1
DA           2	 6	 0	 0.25	 1.0	 0.4
NAV          8	 1	 1	 0.8888889	 0.8888889	 0.8888889
NA           0	 0	 4	 0.0	 0.0	 0.0
SD           0	 0	 4	 0.0	 0.0	 0.0
VC           1	 2	 2	 0.33333334	 0.33333334	 0.33333334
CC           0	 0	 1	 0.0	 0.0	 0.0
AR           0	 0	 1	 0.0	 0.0	 0.0
SN           4	 2	 0	 0.6666667	 1.0	 0.8
LR           9	 2	 0	 0.8181818	 1.0	 0.90000004
tp: 24 fp: 13 fn: 13 labels: 9
Macro-average	 prec: 0.3285634, rec: 0.46913582, f1: 0.3864636
Micro-average	 prec: 0.6486486, recall: 0.6486486, f1: 0.6486486
