label        tp	 fp	 fn	 prec	 rec	 f1
DA           9	 1	 0	 0.9	 1.0	 0.9473684
NAV          1	 2	 2	 0.33333334	 0.33333334	 0.33333334
SD           0	 0	 5	 0.0	 0.0	 0.0
VC           4	 0	 0	 1.0	 1.0	 1.0
CC           7	 4	 0	 0.6363636	 1.0	 0.7777778
AR           1	 0	 5	 1.0	 0.16666667	 0.2857143
SN           3	 2	 0	 0.6	 1.0	 0.75
LR           2	 4	 1	 0.33333334	 0.6666667	 0.44444448
tp: 27 fp: 13 fn: 13 labels: 8
Macro-average	 prec: 0.6003788, rec: 0.6458333, f1: 0.6222771
Micro-average	 prec: 0.675, recall: 0.675, f1: 0.675
