label        tp	 fp	 fn	 prec	 rec	 f1
DA           9	 3	 0	 0.75	 1.0	 0.85714287
NAV          1	 4	 2	 0.2	 0.33333334	 0.25
SD           0	 0	 5	 0.0	 0.0	 0.0
VC           4	 5	 0	 0.44444445	 1.0	 0.61538464
CC           0	 0	 7	 0.0	 0.0	 0.0
AR           0	 0	 6	 0.0	 0.0	 0.0
SN           0	 0	 3	 0.0	 0.0	 0.0
LR           3	 11	 0	 0.21428572	 1.0	 0.3529412
tp: 17 fp: 23 fn: 23 labels: 8
Macro-average	 prec: 0.20109127, rec: 0.4166667, f1: 0.27126494
Micro-average	 prec: 0.425, recall: 0.425, f1: 0.425
