label        tp	 fp	 fn	 prec	 rec	 f1
SV           0	 0	 3	 0.0	 0.0	 0.0
DA           9	 1	 0	 0.9	 1.0	 0.9473684
NAV          1	 0	 2	 1.0	 0.33333334	 0.5
SD           0	 0	 5	 0.0	 0.0	 0.0
RV           0	 0	 1	 0.0	 0.0	 0.0
FF           0	 4	 0	 0.0	 0.0	 0.0
CC           7	 1	 0	 0.875	 1.0	 0.93333334
AR           5	 3	 1	 0.625	 0.8333333	 0.71428573
SN           3	 1	 0	 0.75	 1.0	 0.85714287
LR           2	 3	 1	 0.4	 0.6666667	 0.5
tp: 27 fp: 13 fn: 13 labels: 10
Macro-average	 prec: 0.455, rec: 0.48333335, f1: 0.4687389
Micro-average	 prec: 0.675, recall: 0.675, f1: 0.675
