label        tp	 fp	 fn	 prec	 rec	 f1
DA           9	 1	 0	 0.9	 1.0	 0.9473684
NAV          1	 0	 2	 1.0	 0.33333334	 0.5
SD           1	 2	 4	 0.33333334	 0.2	 0.25
VC           3	 0	 1	 1.0	 0.75	 0.85714287
CC           7	 2	 0	 0.7777778	 1.0	 0.875
AR           3	 1	 3	 0.75	 0.5	 0.6
SN           3	 1	 0	 0.75	 1.0	 0.85714287
LR           2	 4	 1	 0.33333334	 0.6666667	 0.44444448
tp: 29 fp: 11 fn: 11 labels: 8
Macro-average	 prec: 0.7305556, rec: 0.68125, f1: 0.70504177
Micro-average	 prec: 0.725, recall: 0.725, f1: 0.725
