label        tp	 fp	 fn	 prec	 rec	 f1
DA           8	 1	 1	 0.8888889	 0.8888889	 0.8888889
NAV          2	 1	 1	 0.6666667	 0.6666667	 0.6666667
SD           3	 1	 2	 0.75	 0.6	 0.6666667
VC           3	 0	 1	 1.0	 0.75	 0.85714287
CC           7	 1	 0	 0.875	 1.0	 0.93333334
AR           4	 3	 2	 0.5714286	 0.6666667	 0.61538464
SN           3	 0	 0	 1.0	 1.0	 1.0
LR           2	 1	 1	 0.6666667	 0.6666667	 0.6666667
tp: 32 fp: 8 fn: 8 labels: 8
Macro-average	 prec: 0.8023313, rec: 0.7798611, f1: 0.79093665
Micro-average	 prec: 0.8, recall: 0.8, f1: 0.8000001
