label        tp	 fp	 fn	 prec	 rec	 f1
DA           9	 1	 0	 0.9	 1.0	 0.9473684
NAV          1	 1	 2	 0.5	 0.33333334	 0.4
SD           0	 1	 5	 0.0	 0.0	 0.0
VC           3	 0	 1	 1.0	 0.75	 0.85714287
CC           7	 3	 0	 0.7	 1.0	 0.82352936
AR           2	 1	 4	 0.6666667	 0.33333334	 0.44444448
SN           3	 2	 0	 0.6	 1.0	 0.75
LR           2	 4	 1	 0.33333334	 0.6666667	 0.44444448
tp: 27 fp: 13 fn: 13 labels: 8
Macro-average	 prec: 0.58750004, rec: 0.6354167, f1: 0.6105196
Micro-average	 prec: 0.675, recall: 0.675, f1: 0.675
