label        tp	 fp	 fn	 prec	 rec	 f1
DA           9	 1	 0	 0.9	 1.0	 0.9473684
NAV          2	 1	 1	 0.6666667	 0.6666667	 0.6666667
SD           0	 0	 5	 0.0	 0.0	 0.0
VC           3	 1	 1	 0.75	 0.75	 0.75
CC           7	 7	 0	 0.5	 1.0	 0.6666667
AR           0	 0	 6	 0.0	 0.0	 0.0
SN           2	 0	 1	 1.0	 0.6666667	 0.8
LR           2	 5	 1	 0.2857143	 0.6666667	 0.4
tp: 25 fp: 15 fn: 15 labels: 8
Macro-average	 prec: 0.5127976, rec: 0.59375, f1: 0.55031264
Micro-average	 prec: 0.625, recall: 0.625, f1: 0.625
