label        tp	 fp	 fn	 prec	 rec	 f1
DA           9	 1	 0	 0.9	 1.0	 0.9473684
NAV          1	 0	 2	 1.0	 0.33333334	 0.5
SD           3	 2	 2	 0.6	 0.6	 0.6
VC           3	 0	 1	 1.0	 0.75	 0.85714287
CC           7	 1	 0	 0.875	 1.0	 0.93333334
AR           3	 1	 3	 0.75	 0.5	 0.6
SN           3	 0	 0	 1.0	 1.0	 1.0
LR           2	 4	 1	 0.33333334	 0.6666667	 0.44444448
tp: 31 fp: 9 fn: 9 labels: 8
Macro-average	 prec: 0.8072917, rec: 0.73125, f1: 0.7673917
Micro-average	 prec: 0.775, recall: 0.775, f1: 0.775
