label        tp	 fp	 fn	 prec	 rec	 f1
DA           7	 7	 1	 0.5	 0.875	 0.6363636
NA           0	 0	 1	 0.0	 0.0	 0.0
SD           0	 0	 5	 0.0	 0.0	 0.0
VC           0	 0	 2	 0.0	 0.0	 0.0
CC           0	 0	 1	 0.0	 0.0	 0.0
AR           0	 0	 1	 0.0	 0.0	 0.0
SN           5	 4	 0	 0.5555556	 1.0	 0.71428573
LR           3	 0	 0	 1.0	 1.0	 1.0
tp: 15 fp: 11 fn: 11 labels: 8
Macro-average	 prec: 0.25694445, rec: 0.359375, f1: 0.2996479
Micro-average	 prec: 0.5769231, recall: 0.5769231, f1: 0.5769231
