label        tp	 fp	 fn	 prec	 rec	 f1
DA           7	 4	 1	 0.6363636	 0.875	 0.7368421
NA           0	 0	 1	 0.0	 0.0	 0.0
SD           0	 0	 5	 0.0	 0.0	 0.0
VC           0	 0	 2	 0.0	 0.0	 0.0
CC           0	 0	 1	 0.0	 0.0	 0.0
AR           0	 0	 1	 0.0	 0.0	 0.0
SN           5	 6	 0	 0.45454547	 1.0	 0.625
LR           3	 1	 0	 0.75	 1.0	 0.85714287
tp: 15 fp: 11 fn: 11 labels: 8
Macro-average	 prec: 0.23011364, rec: 0.359375, f1: 0.2805723
Micro-average	 prec: 0.5769231, recall: 0.5769231, f1: 0.5769231
