label        tp	 fp	 fn	 prec	 rec	 f1
DA           2	 3	 0	 0.4	 1.0	 0.5714286
NAV          8	 1	 1	 0.8888889	 0.8888889	 0.8888889
NA           0	 0	 4	 0.0	 0.0	 0.0
SD           0	 0	 4	 0.0	 0.0	 0.0
VC           2	 4	 1	 0.33333334	 0.6666667	 0.44444448
CC           0	 0	 1	 0.0	 0.0	 0.0
AR           0	 0	 1	 0.0	 0.0	 0.0
SN           4	 2	 0	 0.6666667	 1.0	 0.8
LR           9	 2	 0	 0.8181818	 1.0	 0.90000004
tp: 25 fp: 12 fn: 12 labels: 9
Macro-average	 prec: 0.34523007, rec: 0.50617284, f1: 0.41048977
Micro-average	 prec: 0.6756757, recall: 0.6756757, f1: 0.6756757
