label        tp	 fp	 fn	 prec	 rec	 f1
DA           5	 1	 3	 0.8333333	 0.625	 0.71428573
NAV          0	 3	 0	 0.0	 0.0	 0.0
NA           0	 0	 1	 0.0	 0.0	 0.0
SD           0	 0	 5	 0.0	 0.0	 0.0
VC           2	 4	 0	 0.33333334	 1.0	 0.5
CC           1	 0	 0	 1.0	 1.0	 1.0
AR           0	 0	 1	 0.0	 0.0	 0.0
SN           5	 2	 0	 0.71428573	 1.0	 0.8333334
LR           3	 0	 0	 1.0	 1.0	 1.0
tp: 16 fp: 10 fn: 10 labels: 9
Macro-average	 prec: 0.43121693, rec: 0.5138889, f1: 0.4689371
Micro-average	 prec: 0.61538464, recall: 0.61538464, f1: 0.61538464
