label        tp	 fp	 fn	 prec	 rec	 f1
DA           5	 0	 3	 1.0	 0.625	 0.7692308
NAV          0	 6	 0	 0.0	 0.0	 0.0
NA           0	 0	 1	 0.0	 0.0	 0.0
SD           0	 0	 5	 0.0	 0.0	 0.0
VC           1	 1	 1	 0.5	 0.5	 0.5
CC           1	 1	 0	 0.5	 1.0	 0.6666667
AR           0	 0	 1	 0.0	 0.0	 0.0
SN           5	 3	 0	 0.625	 1.0	 0.7692308
LR           3	 0	 0	 1.0	 1.0	 1.0
tp: 15 fp: 11 fn: 11 labels: 9
Macro-average	 prec: 0.4027778, rec: 0.45833334, f1: 0.42876345
Micro-average	 prec: 0.5769231, recall: 0.5769231, f1: 0.5769231
