label        tp	 fp	 fn	 prec	 rec	 f1
DA           5	 4	 0	 0.5555556	 1.0	 0.71428573
NA           0	 0	 3	 0.0	 0.0	 0.0
SD           0	 0	 3	 0.0	 0.0	 0.0
VC           1	 0	 0	 1.0	 1.0	 1.0
CC           2	 0	 1	 1.0	 0.6666667	 0.8
AR           2	 2	 0	 0.5	 1.0	 0.6666667
SN           3	 1	 0	 0.75	 1.0	 0.85714287
LR           2	 0	 0	 1.0	 1.0	 1.0
tp: 15 fp: 7 fn: 7 labels: 8
Macro-average	 prec: 0.6006944, rec: 0.7083334, f1: 0.6500884
Micro-average	 prec: 0.6818182, recall: 0.6818182, f1: 0.6818182
