label        tp	 fp	 fn	 prec	 rec	 f1
DA           9	 1	 0	 0.9	 1.0	 0.9473684
NAV          1	 0	 2	 1.0	 0.33333334	 0.5
SD           0	 1	 5	 0.0	 0.0	 0.0
VC           3	 0	 1	 1.0	 0.75	 0.85714287
CC           7	 3	 0	 0.7	 1.0	 0.82352936
AR           3	 1	 3	 0.75	 0.5	 0.6
SN           3	 2	 0	 0.6	 1.0	 0.75
LR           2	 4	 1	 0.33333334	 0.6666667	 0.44444448
tp: 28 fp: 12 fn: 12 labels: 8
Macro-average	 prec: 0.6604167, rec: 0.65625, f1: 0.6583268
Micro-average	 prec: 0.7, recall: 0.7, f1: 0.7
