label        tp	 fp	 fn	 prec	 rec	 f1
DA           5	 1	 3	 0.8333333	 0.625	 0.71428573
NAV          0	 5	 0	 0.0	 0.0	 0.0
NA           0	 0	 1	 0.0	 0.0	 0.0
SD           0	 0	 5	 0.0	 0.0	 0.0
VC           2	 1	 0	 0.6666667	 1.0	 0.8
CC           1	 0	 0	 1.0	 1.0	 1.0
AR           0	 0	 1	 0.0	 0.0	 0.0
SN           5	 3	 0	 0.625	 1.0	 0.7692308
LR           3	 0	 0	 1.0	 1.0	 1.0
tp: 16 fp: 10 fn: 10 labels: 9
Macro-average	 prec: 0.45833334, rec: 0.5138889, f1: 0.48452383
Micro-average	 prec: 0.61538464, recall: 0.61538464, f1: 0.61538464
