label        tp	 fp	 fn	 prec	 rec	 f1
DA           4	 1	 2	 0.8	 0.6666667	 0.72727275
NAV          0	 0	 2	 0.0	 0.0	 0.0
SD           0	 0	 2	 0.0	 0.0	 0.0
VC           0	 0	 3	 0.0	 0.0	 0.0
CC           1	 0	 1	 1.0	 0.5	 0.6666667
AR           0	 0	 3	 0.0	 0.0	 0.0
SN           4	 4	 0	 0.5	 1.0	 0.6666667
LR           2	 8	 0	 0.2	 1.0	 0.3333333
tp: 11 fp: 13 fn: 13 labels: 8
Macro-average	 prec: 0.3125, rec: 0.39583334, f1: 0.3492647
Micro-average	 prec: 0.45833334, recall: 0.45833334, f1: 0.45833334
