label        tp	 fp	 fn	 prec	 rec	 f1
SV           0	 0	 3	 0.0	 0.0	 0.0
DA           9	 3	 0	 0.75	 1.0	 0.85714287
NAV          1	 1	 2	 0.5	 0.33333334	 0.4
SD           0	 0	 5	 0.0	 0.0	 0.0
RV           0	 0	 1	 0.0	 0.0	 0.0
FF           0	 1	 0	 0.0	 0.0	 0.0
CC           7	 4	 0	 0.6363636	 1.0	 0.7777778
AR           1	 0	 5	 1.0	 0.16666667	 0.2857143
SN           3	 1	 0	 0.75	 1.0	 0.85714287
LR           3	 6	 0	 0.33333334	 1.0	 0.5
tp: 24 fp: 16 fn: 16 labels: 10
Macro-average	 prec: 0.39696968, rec: 0.45, f1: 0.42182466
Micro-average	 prec: 0.6, recall: 0.6, f1: 0.6
