label        tp	 fp	 fn	 prec	 rec	 f1
DA           8	 1	 1	 0.8888889	 0.8888889	 0.8888889
NAV          2	 1	 1	 0.6666667	 0.6666667	 0.6666667
SD           2	 1	 3	 0.6666667	 0.4	 0.5
VC           3	 0	 1	 1.0	 0.75	 0.85714287
CC           7	 1	 0	 0.875	 1.0	 0.93333334
AR           4	 3	 2	 0.5714286	 0.6666667	 0.61538464
SN           3	 1	 0	 0.75	 1.0	 0.85714287
LR           2	 1	 1	 0.6666667	 0.6666667	 0.6666667
tp: 31 fp: 9 fn: 9 labels: 8
Macro-average	 prec: 0.7606647, rec: 0.75486106, f1: 0.75775176
Micro-average	 prec: 0.775, recall: 0.775, f1: 0.775
