label        tp	 fp	 fn	 prec	 rec	 f1
DA           4	 2	 2	 0.6666667	 0.6666667	 0.6666667
NAV          0	 0	 2	 0.0	 0.0	 0.0
SD           0	 0	 2	 0.0	 0.0	 0.0
VC           0	 0	 3	 0.0	 0.0	 0.0
CC           2	 0	 0	 1.0	 1.0	 1.0
AR           0	 0	 3	 0.0	 0.0	 0.0
SN           4	 3	 0	 0.5714286	 1.0	 0.72727275
LR           2	 7	 0	 0.22222222	 1.0	 0.36363637
tp: 12 fp: 12 fn: 12 labels: 8
Macro-average	 prec: 0.3075397, rec: 0.45833334, f1: 0.36809155
Micro-average	 prec: 0.5, recall: 0.5, f1: 0.5
