label        tp	 fp	 fn	 prec	 rec	 f1
DA           0	 0	 2	 0.0	 0.0	 0.0
NAV          9	 15	 0	 0.375	 1.0	 0.54545456
NA           0	 0	 4	 0.0	 0.0	 0.0
SD           0	 0	 4	 0.0	 0.0	 0.0
VC           0	 0	 3	 0.0	 0.0	 0.0
CC           0	 0	 1	 0.0	 0.0	 0.0
AR           0	 0	 1	 0.0	 0.0	 0.0
SN           0	 0	 4	 0.0	 0.0	 0.0
LR           8	 5	 1	 0.61538464	 0.8888889	 0.72727275
tp: 17 fp: 20 fn: 20 labels: 9
Macro-average	 prec: 0.110042736, rec: 0.20987654, f1: 0.1443826
Micro-average	 prec: 0.45945945, recall: 0.45945945, f1: 0.45945945
