label        tp	 fp	 fn	 prec	 rec	 f1
SV           0	 0	 3	 0.0	 0.0	 0.0
DA           9	 1	 0	 0.9	 1.0	 0.9473684
NAV          1	 0	 2	 1.0	 0.33333334	 0.5
SD           1	 0	 4	 1.0	 0.2	 0.3333333
RV           0	 0	 1	 0.0	 0.0	 0.0
FF           0	 1	 0	 0.0	 0.0	 0.0
PV           0	 2	 0	 0.0	 0.0	 0.0
CC           7	 1	 0	 0.875	 1.0	 0.93333334
AR           5	 3	 1	 0.625	 0.8333333	 0.71428573
SN           3	 1	 0	 0.75	 1.0	 0.85714287
LR           2	 3	 1	 0.4	 0.6666667	 0.5
tp: 28 fp: 12 fn: 12 labels: 11
Macro-average	 prec: 0.50454545, rec: 0.45757577, f1: 0.4799141
Micro-average	 prec: 0.7, recall: 0.7, f1: 0.7
