label        tp	 fp	 fn	 prec	 rec	 f1
DA           8	 1	 1	 0.8888889	 0.8888889	 0.8888889
NAV          0	 0	 3	 0.0	 0.0	 0.0
SD           0	 0	 5	 0.0	 0.0	 0.0
VC           3	 11	 1	 0.21428572	 0.75	 0.3333333
CC           2	 0	 5	 1.0	 0.2857143	 0.44444448
AR           0	 0	 6	 0.0	 0.0	 0.0
SN           0	 0	 3	 0.0	 0.0	 0.0
LR           3	 12	 0	 0.2	 1.0	 0.3333333
tp: 16 fp: 24 fn: 24 labels: 8
Macro-average	 prec: 0.28789684, rec: 0.36557537, f1: 0.3221193
Micro-average	 prec: 0.4, recall: 0.4, f1: 0.40000004
