label        tp	 fp	 fn	 prec	 rec	 f1
DA           9	 1	 0	 0.9	 1.0	 0.9473684
NAV          1	 0	 2	 1.0	 0.33333334	 0.5
SD           4	 2	 1	 0.6666667	 0.8	 0.72727275
VC           3	 0	 1	 1.0	 0.75	 0.85714287
CC           7	 0	 0	 1.0	 1.0	 1.0
AR           4	 2	 2	 0.6666667	 0.6666667	 0.6666667
SN           3	 0	 0	 1.0	 1.0	 1.0
LR           2	 2	 1	 0.5	 0.6666667	 0.57142854
tp: 33 fp: 7 fn: 7 labels: 8
Macro-average	 prec: 0.84166664, rec: 0.77708334, f1: 0.80808663
Micro-average	 prec: 0.825, recall: 0.825, f1: 0.825
