label        tp	 fp	 fn	 prec	 rec	 f1
DA           9	 1	 0	 0.9	 1.0	 0.9473684
NAV          2	 0	 1	 1.0	 0.6666667	 0.8
SD           2	 1	 3	 0.6666667	 0.4	 0.5
VC           3	 0	 1	 1.0	 0.75	 0.85714287
CC           7	 1	 0	 0.875	 1.0	 0.93333334
AR           4	 3	 2	 0.5714286	 0.6666667	 0.61538464
SN           3	 1	 0	 0.75	 1.0	 0.85714287
LR           2	 1	 1	 0.6666667	 0.6666667	 0.6666667
tp: 32 fp: 8 fn: 8 labels: 8
Macro-average	 prec: 0.80372024, rec: 0.76875, f1: 0.78584635
Micro-average	 prec: 0.8, recall: 0.8, f1: 0.8000001
