label        tp	 fp	 fn	 prec	 rec	 f1
SV           0	 0	 3	 0.0	 0.0	 0.0
DA           9	 0	 0	 1.0	 1.0	 1.0
NAV          2	 1	 1	 0.6666667	 0.6666667	 0.6666667
SD           0	 0	 4	 0.0	 0.0	 0.0
RV           0	 0	 1	 0.0	 0.0	 0.0
FF           0	 3	 0	 0.0	 0.0	 0.0
CC           8	 3	 0	 0.72727275	 1.0	 0.84210527
AR           5	 2	 1	 0.71428573	 0.8333333	 0.7692307
SN           3	 0	 0	 1.0	 1.0	 1.0
LR           2	 2	 1	 0.5	 0.6666667	 0.57142854
tp: 29 fp: 11 fn: 11 labels: 10
Macro-average	 prec: 0.46082252, rec: 0.51666665, f1: 0.4871494
Micro-average	 prec: 0.725, recall: 0.725, f1: 0.725
