label        tp	 fp	 fn	 prec	 rec	 f1
SV           0	 0	 3	 0.0	 0.0	 0.0
DA           9	 3	 0	 0.75	 1.0	 0.85714287
NAV          0	 0	 3	 0.0	 0.0	 0.0
SD           0	 0	 4	 0.0	 0.0	 0.0
RV           0	 0	 1	 0.0	 0.0	 0.0
CC           8	 6	 0	 0.5714286	 1.0	 0.72727275
AR           1	 0	 5	 1.0	 0.16666667	 0.2857143
SN           3	 0	 0	 1.0	 1.0	 1.0
LR           3	 7	 0	 0.3	 1.0	 0.4615385
tp: 24 fp: 16 fn: 16 labels: 9
Macro-average	 prec: 0.40238094, rec: 0.46296299, f1: 0.4305513
Micro-average	 prec: 0.6, recall: 0.6, f1: 0.6
