label        tp	 fp	 fn	 prec	 rec	 f1
DA           2	 7	 0	 0.22222222	 1.0	 0.36363637
NAV          9	 2	 0	 0.8181818	 1.0	 0.90000004
NA           0	 0	 4	 0.0	 0.0	 0.0
SD           0	 0	 4	 0.0	 0.0	 0.0
VC           0	 0	 3	 0.0	 0.0	 0.0
CC           0	 0	 1	 0.0	 0.0	 0.0
AR           0	 0	 1	 0.0	 0.0	 0.0
SN           3	 2	 1	 0.6	 0.75	 0.6666667
LR           9	 3	 0	 0.75	 1.0	 0.85714287
tp: 23 fp: 14 fn: 14 labels: 9
Macro-average	 prec: 0.26560047, rec: 0.41666666, f1: 0.3244092
Micro-average	 prec: 0.6216216, recall: 0.6216216, f1: 0.6216216
