label        tp	 fp	 fn	 prec	 rec	 f1
DA           9	 1	 0	 0.9	 1.0	 0.9473684
NAV          1	 0	 2	 1.0	 0.33333334	 0.5
SD           3	 2	 2	 0.6	 0.6	 0.6
VC           3	 0	 1	 1.0	 0.75	 0.85714287
CC           7	 1	 0	 0.875	 1.0	 0.93333334
AR           4	 2	 2	 0.6666667	 0.6666667	 0.6666667
SN           3	 0	 0	 1.0	 1.0	 1.0
LR           2	 2	 1	 0.5	 0.6666667	 0.57142854
tp: 32 fp: 8 fn: 8 labels: 8
Macro-average	 prec: 0.8177083, rec: 0.7520833, f1: 0.7835241
Micro-average	 prec: 0.8, recall: 0.8, f1: 0.8000001
